,cue,association,explanation,relation
673,angled,pisa,the leaning tower of pisa is angled,UNK
674,angled,placed,when something is angled its placed on a certain position.,UNK
675,angled,position,the position of that artwork is angled.,UNK
676,angled,roof,my neighbor's home has an angled roof.,UNK
677,angled,shape,the shape was angled at 90 degrees,UNK
678,angled,sharp,the coffee table has a sharp angled corner.,UNK
679,angled,straight,"if the line is straight, it is already angled.",UNK
680,angled,straight,something that is angled is not straight.,UNK
681,angled,street,the street was weirdly angled.,UNK
682,angled,tipped,something that is angled is tipped one way or the other.,UNK
683,angles,corners,a corner is usually at an angle,UNK
684,angles,degrees,angles are measured in degrees.,UNK
685,angles,gradient,angle has a similar meaning as gradient.,UNK
686,angles,math,angles are often expressed in math (for example in geometry)..,UNK
687,angles,plan,one can look at a plan in a different angle to approach it differently,UNK
688,angles,position,angles may look different according to your position.,UNK
689,angles,problem,the problem can be approached from different angles.,UNK
690,angles,right,"during the test, fred tried to remember exactly what a right angle was.",UNK
691,angles,school,we learnt a topic on angles in school,UNK
692,angles,sides,angles look different from each of their sides.,UNK
693,angles,slant,angle has a similar meaning as slant.,UNK
694,angles,square,a square has 4 right angles.,UNK
695,angles,triangle,a triangle has 3 sides and 3 angles.,PartOf
696,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Category-Exemplar-Pairs
697,angles,triangle,the triangle has three angles.,PartOf
698,angles,triangle,triangles have different kinds of angles.,PartOf
699,animal,alive,the little animal was alive.,UNK
700,animal,beast,animal defined as the beast,UNK
701,animal,bird,a bird is a type of animal.,UNK
702,animal,body,the doctor checked the animal body,UNK
703,animal,cat,a cat is a common type of animal.,UNK
704,animal,cat,a cat is one of the favorite animals for pets.,UNK
705,animal,cracker,animal crackers come in different shapes,UNK
706,animal,danger,wild animal are very danger in while hungry,UNK
707,animal,dog,my favorite animal is a dog.,UNK
708,animal,dog,one of my favorite animals is my dog,UNK
709,animal,food,animal food is designed specifically for animals and not humans,UNK
710,animal,forest,wild animals stayed only forest,UNK
711,animal,house,animal house is a very popular comedy movie.,UNK
712,animal,human,"even though we are animals, humans do not consider themselves animals",UNK
713,animal,lion,a lion is the king of the animal jungle.,UNK
714,animal,mammal,a mammal is a type of animal.,UNK
715,animal,murdered,he did not want the animal to be murdered.,UNK
716,animal,paws,lots of animals have paws instead of hands and feet.,UNK
717,animal,pet,animals in the household are considered pets.,UNK
718,animal,wild,some people are afraid of the jungle because it contains wild animals.,UNK
719,announce,confirm,"when my work announces something, they usually are confirming facts or details about the organization.",UNK
720,announce,information,announcing information is one of association,UNK
721,announce,memo,memos often announce changes.,UNK
722,announce,notify,to announce something is to also notify people of that thing,UNK
723,announce,pronounce ,to announce some information is to also pronounce it,UNK
724,announce,propagate,propagation of information is also to announce information.,UNK
725,announce,table,announcing table is one of the association,UNK
726,announce,tell,to announce can also mean to tell.,UNK
727,announce,tell,"when someone announces something, they are telling someone something.",UNK
728,announce,yell,"typically, when i have to announce something to a group, i have to raise my voice and yell it.",UNK
729,annually,dues,i pay my club dues annually.,UNK
730,annually,gathering,a lot of gatherings happens annually.,UNK
731,annually,months,annually means yearly and years are measured in months.,UNK
732,annually,prize,prizes are usually given annually.,UNK
733,annually,rarely,something that happens annually happens rarely.,UNK
734,annually,seasons,seasons come and go annually.,UNK
735,annually,superbowl,"annually we get one of the biggest events, the superbowl.",UNK
736,annually,taxes,taxes have to be paid annually.,UNK
737,annually,taxes,you have to file your taxes annually,UNK
738,annually,year,"at least once a year, i have to pay a bill, annually.",UNK
739,annually,yearly,annually has a similar meaning as yearly.,UNK
740,annually,yearly,"if something is done once yearly, it is done annually.",UNK
741,answer,call,if anybody calls me i am not likely to answer,UNK
742,answer,education,answers to questions are found in education.,UNK
743,answer,frustration,"when i ask my friend for an answer i usually feel frustration, he is never direct",UNK
744,answer,known,most answers are known but have to be found.,UNK
745,answer,learn,when you seek an answer you learn something.,UNK
746,answer,phone,i don't like to answer the phone when the number is unknown.,UNK
747,answer,problem,you must find the answer to the problem.,UNK
748,answer,question,a question is usually followed by an answer to it.,UNK
749,answer,question,if you are giving an answer someone probably asked a question.,UNK
750,answer,question,the answer to the question is.,UNK
751,answer,questions,the answer to the questions can be found in books.,UNK
752,answer,respond,"if someone responds to a person, they are giving them an answer.",UNK
753,answer,respond,to answer to something would also mean to respond,UNK
754,answer,right,the man got the answer right on the game show,UNK
755,answer,simple,the answer is so simple.,UNK
756,answer,solution,you need to find the answer or solution to a problem.,UNK
757,answer,statement,a statement being issued by a company can answer many questions.,UNK
758,answer,teacher,the teacher knew every answer to the questions.,UNK
759,answer,test,the answer to the test couldn't be figured out.,UNK
760,answer,truth,if you are looking for an answer you are looking for the truth,UNK
761,answer,wrong,the woman got the answer wrong on family feud,UNK
762,apart,away,away from each other i kept the two cats apart,UNK
763,apart,away,being apart means being away from others.,UNK
764,apart,away,if something is apart it is away from one another.,UNK
765,apart,couple,two people from a couple can be apart from each other,UNK
766,apart,distance,being apart means to have distance between two things or people.,UNK
767,apart,distance,distance is the burden to carry when you are apart from the one you love.,UNK
768,apart,divide,to take something apart is to divide it into pieces.,UNK
769,apart,ocean,"richard marx's song ""right here waiting for you"" came to mind with the lyrics starting at ""ocean's apart.""",UNK
770,apart,preposition,apart from can be used as a preposition meaning besides,UNK
771,apart,sad,it's sad when you are apart from a person you love,UNK
772,apart,separated,apart and separated have similar meanings.,UNK
773,apart,separated,"when you are apart from someone it means you are separated, not close.",UNK
774,apart,tear,i can split a paper in two by tearing it apart..,UNK
775,apart,together,together is the opposite of apart.,UNK
776,apart,worlds,sometimes i feel that we are worlds apart.,UNK
777,apartment,building,an apartment building is where someone lives cheaper than a house.,UNK
778,apartment,building,the apartment building had 100 different apartments in it,UNK
779,apartment,carpet,the carpet in my apartment needed to be replaced.,UNK
780,apartment,complex,several apartments together are often referred to as an apartment complex.,UNK
781,apartment,dwelling,an apartment is a type of dwelling.,UNK
782,apartment,flat,apartment has a similar meaning as flat.,UNK
783,apartment,floors,the apartment building has four floors.,UNK
784,apartment,furnished,the apartment was expensive because it was fully furnished.,UNK
785,apartment,home,the apartment is where his home is.,UNK
786,apartment,house,he had an apartment instead of a house.,UNK
787,apartment,house,people live in an apartment house.,UNK
788,apartment,landlord,the landlord had to remove some tenants from their apartment,UNK
789,apartment,lease,"when someone wants to rent an apartment, they must sign a lease.",UNK
790,apartment,live,a small apartment was the first place i lived.,UNK
791,apartment,luxury,the millionaire lived in a luxury apartment on the upper east side.,UNK
792,apartment,rent,rent is the cost of living in an apartment.,UNK
793,apartment,room,an apartment has rooms in it.,UNK
794,apartment,room,the apartment had many rooms that needed to be remodeled.,UNK
795,apartment,rooms,apartments have less rooms than a house.,UNK
796,apartment,small,apartments can sometimes be small.,UNK
797,apologize,actions,she apologized for her actions.,UNK
798,apologize,banned,i got banned from a chat as a kid because i kept apologizing,UNK
799,apologize,constantly,i have anxiety and it makes me apologize constantly,UNK
800,apologize,friends,when friends fight they apologize to one another.,UNK
801,apologize,gesture,"when some apologize, it is a mere gesture and not sincere.",UNK
802,apologize,guilty,a person apologize because they are feeling guilty about something.,UNK
803,apologize,hurt,if you apologize you probably hurt someone.,UNK
804,apologize,kids,kids have to apologize to their parents when they break the rules.,UNK
805,apologize,late,i apologize for being late,UNK
806,apologize,mistake,i like to apologize for my mistakes.,UNK
807,apologize,regret,when i apologize i feel regret because of my actions.,UNK
808,apologize,repent,"if a person repents, they apologize for an act and indicate that this will not happen again.",UNK
809,apologize,rude,i apologize if i was rude.,UNK
810,apologize,sorry,i am so sorry i do apologize,UNK
811,apologize,sorry,if you are apologizing you are sorry.,UNK
812,apologize,sorry,saying sorry is a way of apologizing.,UNK
813,apologize,sorry,she said she was sorry for her actions when she apologized.,UNK
814,apologize,sorry,to apologize is to say that one is sorry for their wrongdoings,UNK
815,apologize,sorry,we say sorry when we want to apologize.,UNK
816,apologize,transgression,he apologized for all his transgressions.,UNK
817,apple,day,an apple a day keeps the doctor away.,UNK
818,apple,eve,the apple was given to eve.,UNK
819,apple,food,an apple is a kind of food,UNK
820,apple,fruit,an apple is a kind of fruit.,UNK
821,apple,fruit,an apple is a sweet fruit.,UNK
822,apple,fruit,an apple is a type of fruit.,UNK
823,apple,fruit,an apple is one of the most common fruits in the world,UNK
824,apple,fruit,apple is a delicious type of fruit.,UNK
825,apple,fruit,apple is a sweet fruit.,UNK
826,apple,green,he bit into the green apple.,UNK
827,apple,green,i like to eat green apple more.,UNK
828,apple,juice,the little boy sipped on his apple juice,UNK
829,apple,pie,apple pie is a delicious dessert.,UNK
830,apple,pie,can you make a tasteful apple pie for us?,UNK
831,apple,pie,hot apple pie is delicious.,UNK
832,apple,red,he ate the red apple.,UNK
833,apple,red,the red apple fell off the tree.,UNK
834,apple,sauce,the woman with no teeth had to eat apple sauce,UNK
835,apple,water,there's a certain amount of water in an apple for hydration,UNK
836,apple,yard,there were many apples in the yard.,UNK
837,apply,cream,you can apply cream to something.,UNK
838,apply,impress,i impress my will or apply my will.,UNK
839,apply,lotion,lotion is something that you can apply.,UNK
840,apply,offline,you can also apply the form in offline,UNK
841,apply,put ,one has to apply the job so he put into some difficult test.,UNK
842,apply,spend,i cannot explain why i chose spend with apply it was the word that popped in my head.,UNK
843,apply,start,i have to apply myself to start something new.,UNK
844,apply,try,in order to apply myself to a goal i have to try first.,UNK
845,apply,use ,if the paint is applied in the old cycle it will look new so it can be used.,UNK
846,apply,work,you have to apply to work or fill an application,UNK
847,appointment,anxiety,i have anxiety about an upcoming appointment,UNK
848,appointment,calendar,a calendar can keep track of appointments.,UNK
849,appointment,calendar,i list each appointment i have on my calendar.,UNK
850,appointment,date,the appointment date fixed to meet my manager,UNK
851,appointment,date,we have to set a date for appointments.,UNK
852,appointment,decision,the appointment was made by my manager decision,UNK
853,appointment,dentist,an appointment is made before visiting the dentist.,UNK
854,appointment,dentist,dentists schedule appointments to try to save people time.,UNK
855,appointment,dentist ,you can book an appointment with your dentist,UNK
856,appointment,doctor,a doctors appointment is needed if you are feeling sick.,UNK
857,appointment,doctor,i have an appointment with my doctor to see if i have ms,UNK
858,appointment,doctor,you may have a doctors appointment.,UNK
859,appointment,early,i like to be early if i have an appointment.,UNK
860,appointment,early,i try to be early for my appointments.,Time
861,appointment,eye,you might have an eye appointment.,UNK
862,appointment,interview,you need to make an appointment in order to attend a job interview,UNK
863,appointment,late,sometimes i am late for my appointment.,Time
864,appointment,meet,i often meet people up for an appointment.,UNK
865,appointment,meeting,an appointment is a meeting on a specific day and time.,UNK
866,appointment,missed,i can't believe i missed my appointment.,UNK
867,appointment,schedule,you schedule an appointment to know when to be there.,UNK
868,appointment,time,an appointment is a scheduled date and time for a meeting.,Time
869,argument,angry,people get angry when they have an argument,UNK
870,argument,boss,the boss got into an argument with the employee.,UNK
871,argument,compromise,sometimes an argument can be avoided with a compromise.,UNK
872,argument,couple,couples tend to have arguments quite a bit,UNK
873,argument,customer,the customer got into an argument over the sale.,UNK
874,argument,debate,an argument is a form of debate with opposing views.,UNK
875,argument,disagree,"when my husband disagrees with me, it may cause an argument.",UNK
876,argument,discussion,a discussion has a lot of arguments in it.,UNK
877,argument,family,i always argument with my family,UNK
878,argument,fight,a fight has a lot of arguments in it.,UNK
879,argument,fight,an argument may end in fight,UNK
880,argument,fight ,"their argument was a tense one, and i thought they might start a fight.",UNK
881,argument,heated,an argument that gets out of hand can get very heated.,UNK
882,argument,hurtful,i say hurtful things during an argument with my ex.,UNK
883,argument,mad,when people are having an argument they are usually mad,UNK
884,argument,screaming,people are screaming during the argument,UNK
885,argument,social,i always argument social problems,UNK
886,argument,yell,i don't want to get in an argument and yell.,UNK
887,arouse,awaken,"the clock would arouse the campers, and they would awaken at dawn.",UNK
888,arouse,curiosity,"if you want to teach someone something, you should arouse their curiosity first.",UNK
889,arouse,doubt,he didn't want to arouse doubt of his sincerity.,UNK
890,arouse,fear,the sounds of the wolves began to arouse fear in the people.,UNK
891,arouse,horny,"when someone is horny intellectually, they are aroused.",UNK
892,arouse,interest,"in order to pique my interest, you must arouse my curiosity.",UNK
893,arouse,interested,he was interested in the feelings the woman would arouse in him.,UNK
894,arouse,sex,"to have sex, i need to be aroused.",UNK
895,arouse,sex,when you are aroused you want to have sex.,UNK
896,arouse,sexual,he has a sexual arousal for her.,UNK
897,arouse,sexually,arousal can be sexual in nature,UNK
898,arouse,sexy,i am aroused by a sexy person.,UNK
899,arouse,sleep,the boy aroused from his sleep.,UNK
900,arouse,suspicion,i don't want to arouse suspicion.,UNK
901,arouse,suspicion,my suspicion was aroused when i saw the footprints leading into the woods.,UNK
902,arouse,wet,sexual arousal makes people wet,UNK
903,aside,away,people push their food aside when they want to get away from the table.,UNK
904,aside,cast,to cast something aside means to get rid of it.,UNK
905,aside,conversation,having an aside in a conversation means talking about something else,UNK
906,aside,from,aside from the that i don't think he will care much.,UNK
907,aside,move,move aside is something you say to get someone to get out of your way.,UNK
908,aside,next,i think of something aside is something that is next to something else,UNK
909,aside,next,"when something is placed aside, it is next to something.",UNK
910,aside,pushed,some employees are pushed aside when they get older.,UNK
911,aside,set,the difficult job was set aside for another time.,UNK
912,aside,setting,aside from the lights it was a wonderful setting.,UNK
913,aside,taken,one can be taken aside for a purpose.,UNK
914,assistance,aid,assistance is providing your aid to others.,UNK
915,assistance,aid,the assistance provided to the elderly was a great aid for them.,UNK
916,assistance,elderly ,the elderly woman didn't want assistance across the road.,UNK
917,assistance,emergency,"in an emergency, assistance is imperative.",UNK
918,assistance,financial,i really could use some financial assistance from the government.,UNK
919,assistance,guide,let this serve as an assistance and a guide.,UNK
920,assistance,help,when seeking assistance you ask for help.,UNK
921,assistance,help,when we work with help of our assistance we can succeed,UNK
922,assistance,injury,"if someone has an injury, they will probably require assistance.",UNK
923,assistance,map,we found map assistance help us in our journey,UNK
924,assistance,math,the boy needed assistance with his math homework,UNK
925,assistance,medical,the boy needed medical assistance for his broken arm,UNK
926,assistance,need,i need assistance over here.,UNK
927,assistance,personal,she can be the next personal assistance.,UNK
928,assistance,public,the elderly that live in public healthcare facilities require assistance.,UNK
929,assistance,situation,the situation called for some assistance.,UNK
930,assistance,social benefits,social benefits is a type of assistance that is needed.,UNK
931,assistance,teamwork,if you are working with someone else you are seeking assistance and that's teamwork.,UNK
932,attend,accompany,attend is the synonym of the accompany,UNK
933,attend,appear,"if you appear at church services on sunday, you were able to attend the event.",UNK
934,attend,at,when i attend a party i am at the party.,UNK
935,attend,class,i attended the class late,UNK
936,attend,event,usually when you attend something it is an event.,UNK
937,attend,funeral,"yesterday, i attended my grandmother's funeral",UNK
938,attend,important,it is important for him to attend every day,UNK
939,attend,interview,the man had to attend a job interview tomorrow afternoon,UNK
940,attend,meeting,people are frequently required to attend meetings.,UNK
941,attend,meeting,the man had to attend a meeting in the morning,UNK
942,attend,meeting,the new recruit attended the meeting.,UNK
943,attend,miss,"if you missed the festival, you did not attend it.",UNK
944,attend,offered,he offered to go and attend to the matter,UNK
945,attend,participate,if you are attending something you are participating.,UNK
946,attend,party,the party is to be attended by ladies only.,UNK
947,attend,present,attending an event means that you are present at the venue.,Synonym
948,attend,problem,the manager has to attend to the problem immediately.,Action
949,attend,school,children are required to attend school.,UNK
950,attend,school,i attend a function in my school,UNK
951,attend,wedding,"thankfully, i was not invited to attend my cousin's wedding",UNK
952,attitude,adjustment,that kid down the street needs an attitude adjustment.,UNK
953,attitude,angry,"if you have an attitude all the time, you're probably an angry person.",UNK
954,attitude,bad,i had a bad attitude when i was a teenager.,UNK
955,attitude,bad,the basketball player had a bad attitude and his teammates disliked him,UNK
956,attitude,bad,what a bad attitude to showcase.,UNK
957,attitude,exhibit,he exhibited a good attitude.,UNK
958,attitude,good,the boy had a good attitude in school and worked hard for good grades,UNK
959,attitude,good,they found he had a good attitude.,UNK
960,attitude,lip,"if you give someone lip, then you are giving them attitude.",UNK
961,attitude,mean,"if you have an attitude, you could be considered to be a mean person.",UNK
962,attitude,mood,your attitude towards something is usually determined by your mood.,UNK
963,attitude,nasty,he had a very nasty attitude.,UNK
964,attitude,negative,one type of an attitude is a negative one.,UNK
965,attitude,positive,another type of attitude is a positive one.,UNK
966,attitude,problem,my attitude is not the problem.,UNK
967,attitude,rude,i hate when people have a rude attitude.,UNK
968,attitude,sassy,if someone is giving attitude they are usually sassy.,UNK
969,attitude,stubborn,some people have a really stubborn attitude.,UNK
970,attitude,upset,if someone has an attitude they are usually upset.,UNK
971,attitude,view,the view you have on a topic directly influences your attitude towards it.,UNK
972,avoid,anxiety,she is trying to avoid anxiety.,UNK
973,avoid,avert,to avert a situation is to avoid it.,UNK
974,avoid,circumvent,avoid and circumvent have similar meanings.,UNK
975,avoid,collision,vehicle collision can be avoided by being a defensive driver.,UNK
976,avoid,confront,avoid is the opposite of confront.,UNK
977,avoid,contact,to avoid also means to not contact.,UNK
978,avoid,distance,i avoid people by putting distance between myself and them,UNK
979,avoid,distract,"avoid means skipping an event, making excuses and to distract others to avoid them.",UNK
980,avoid,dodge,"these words have similar meanings; ""dodge"" is somewhere between evade and avoid.",UNK
981,avoid,eye contact,avoidance by not establishing eye contact with someone.,UNK
982,avoid,health,you must avoid things to maintain health.,UNK
983,avoid,pain,he is trying to avoid her pain.,UNK
984,avoid,refrain,refraining from something also means avoiding that particular thing.,UNK
985,avoid,sign,some signs tell you to avoid things.,UNK
986,avoid,situations,it's best to avoid risky situations.,UNK
987,avoid,skip,"avoid and skip go by the hand, you want to skip something you want to avoid",UNK
988,avoid,toxic people,i tend to avoid toxic people,UNK
989,avoid,traffic,i want to avoid heavy traffic this morning.,UNK
990,avoid,turn,"to avoid something, i turn away from it.",UNK
991,aware,alert,if you are aware then you are alert.,UNK
992,aware,alert,to be alert means to be aware.,UNK
993,aware,alert,to be aware means to be at alert.,UNK
994,aware,alert,when you are aware you are alert of others.,UNK
995,aware,attention,if you are aware you are paying attention.,UNK
996,aware,attention,when you are aware you pay attention to your surroundings.,UNK
997,aware,attentive,"to be aware of something, one must be attentive.",UNK
998,aware,awake,"when you are awake, you are aware of your surroundings.",UNK
999,aware,certain,"if i'm aware of something, i am certain of it.",UNK
1000,aware,conscious,being aware refers to being conscious of one's surroundings.,UNK
1001,aware,conscious,if one is aware of something then it means that they are conscious of it,UNK
1002,aware,enlightened,aware has a similar meaning as enlightened.,UNK
1003,aware,know,i know what i am aware of.,UNK
1004,aware,know,"when you are aware of something, you know what is going on.",UNK
1005,aware,knowledgeable,aware has a similar meaning as knowledgeable.,UNK
1006,aware,notice,being aware means to notice happenings in one's surrounding.,UNK
1007,aware,open,"to be aware, one must keep their eyes open.",UNK
1008,aware,sensible,aware is the sensible knowledge,UNK
1009,aware,sensible,to be aware of something i believe means that one is now sensible,UNK
1010,awesome,excited,we went to amusement park it was awesome and we were excited,UNK
1011,awesome,fun,if someone is having an awesome time they are having a fun time,UNK
1012,awesome,fun,last night party was awesome and fun,UNK
1013,awesome,game,the boy played the video game and said it was awesome,UNK
1014,awesome,happy,if someone is having an awesome time they are happy,UNK
1015,awesome,huge,something that is awesome in size is huge.,UNK
1016,awesome,impressive,if something is awesome then its impressive as well.,UNK
1017,awesome,incredible,the incredible play was so awesome to watch happen.,UNK
1018,awesome,mind,it is awesome that you don't mind going to work.,UNK
1019,awesome,neat,"something that is awesome is neat, or cool to see.",UNK
1020,awesome,play,the play made by the shortstop was awesome.,UNK
1021,awesome,sight,the awesome sight of an erupting volcano it was an awesome responsibilty,UNK
1022,awesome,spectacular,"if a show is awesome, it is spectacular.",UNK
1023,awesome,spectacular,something that is awesome is spectacular or awesome like fireworks.,UNK
1024,awesome,sport,the sport of basketball is awesome to watch in person,UNK
1025,awesome,task,we had an awesome task ahead of us,UNK
1026,awesome,wonder,i usually wonder about something awesome.,UNK
1027,awful,bad,her breath wasn't just bad; it was awful.,UNK
1028,awful,bad,the bad experience was awful.,UNK
1029,awful,bad,"when something bad happens, it could have awful consequences.",UNK
1030,awful,disaster,a disaster is an awful occurence that affects people.,UNK
1031,awful,embarrassed ,he felt awful when he failed the test; completely embarrassed.,UNK
1032,awful,food,food may sometimes be described as awful.,UNK
1033,awful,food,"the food at this restaurant is awful, no wonder it was rated one star.",UNK
1034,awful,good,awful is the opposite of good.,UNK
1035,awful,humiliated,he felt humiliated on the football field; his performance had been awful.,UNK
1036,awful,inconsiderate,someone inconsiderate might be called awful.,UNK
1037,awful,lose,the awful lose was not expected.,UNK
1038,awful,repulsive,something that is awful is also likely to be repulsive.,UNK
1039,awful,rude,someone very rude would be considered awful.,Synonym
1040,awful,sound,the sound of nails on a chalkboard is awful,UNK
1041,awful,sucks,when something is awful to eat than it sucks.,UNK
1042,awful,taste,the taste of the soda was awful.,UNK
1043,awful,terrible,if something is awful it is also terrible,UNK
1044,awful,terrible,in something is terrible for you its awful.,UNK
1045,awful,terrible,it might be redundant to say it's awfully terrible.,UNK
1046,awful,terrible,the weather was awful because the rain was terrible.,UNK
1047,awful,throw,the shortstop made an awful throw which resulted in an error,UNK
1048,awful,tragic,if something is awful it may be tragic,UNK
1049,badly,accident,people can be badly hurt in car accidents.,UNK
1050,badly,accident,the badly accident ever happened in this road,UNK
1051,badly,blood,he was spitting blood from a badly cut lip,UNK
1052,badly,driving,the new student was driving badly for her dad.,UNK
1053,badly,evil,"if someone is behaving badly, they may be evil.",UNK
1054,badly,health,his health was poor and he was feeling badly.,UNK
1055,badly,horrible,"if i imagine someone being treated badly, i imagine they were mistreated in a horrible fashion.",UNK
1056,badly,hurt,an individual can get hurt badly.,UNK
1057,badly,hurt,the man was badly hurt in the accident,UNK
1058,badly,industries,romania badly needs aid to modernize its outmoded industries,UNK
1059,badly,injured,people involved in accidents could be badly injured.,UNK
1060,badly,injured,the woman was badly injured in the wreck,UNK
1061,badly,negative,a negative experience is a badly one.,UNK
1062,badly,news,people react to some news very badly.,UNK
1063,badly,sloppy,"when i think of someone doing a job badly, i think it was a sloppy job.",UNK
1064,badly,terribly,"if someone behaves badly, you can also say they behaved terribly.",UNK
1065,badly,unfavorable,when something is badly it is unfavorable.,UNK
1066,badly,vehicle,the vehicle was badly damaged,UNK
1067,bagpipe,bag,he has bagpipe in his bag.,UNK
1068,bagpipe,flute,bagpipes and flutes are both musical instruments.,UNK
1069,bagpipe,instrument,bagpipe is a very nice instrument to learn.,UNK
1070,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic
1071,bagpipe,music,bagpipes are used to create music.,UNK
1072,bagpipe,music,bagpipes can be used to play music,UNK
1073,bagpipe,music,the bagpipe is used to the music.,UNK
1074,bagpipe,music,the music that comes from bagpipe is nice.,UNK
1075,bagpipe,pipes,pipes is one of the mechanical features visible in a bagpipe.,UNK
1076,bagpipe,scotland,bagpipes are played in scotland,UNK
1077,bagpipe,scottish,bagpipe has scottish origins which you normally see on tv of a man wearing kilt playing bagpipes.,UNK
1078,bagpipe,things,the bagpipe of used to the carry of things.,UNK
1079,bagpipe,trombone,bagpipes and trombones are both musical instruments.,UNK
1080,bagpipe,wood,the bagpipe is made up of wood.,UNK
1081,baked,alaska,baked alaska is a dish they mention in a song in the musical annie.,UNK
1082,baked,alaska,i have never tasted baked alaska but i hear it's fantastic.,UNK
1083,baked,beans,i love baked beans as a side when i eat bbq.,UNK
1084,baked,bread,bread is usually baked inside an oven.,UNK
1085,baked,cake,the baked cake brought people from far away.,UNK
1086,baked,chicken,"at the picnic, thee was barbeque chicken as well as baked chicken.",UNK
1087,baked,chips,baked chips are the healthier version of chips,UNK
1088,baked,cookies,cookies are items that are baked.,UNK
1089,baked,cooking,when something is baked its done while cooking.,UNK
1090,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category
1091,baked,goods,baked goods are a treat that is often full of sugar.,Common-Phrase
1092,baked,goods,the baked goods just came out of the oven.,Common-Phrase
1093,baked,goods,the baked goods smelled amazing.,Common-Phrase
1094,baked,oven,goods are baked in an oven.,UNK
1095,baked,oven,if something was baked then it was cooked in an oven.,Location
1096,baked,pastries,pastries are usually something that is baked,UNK
1097,ballerina,dancer,i like to be a ballerina dancer,UNK
1098,ballerina,enjoyment,the ballerina is very enjoyment when everyone is doing their job,UNK
1099,ballerina,sing,the ballerina are sing to the party and very enjoy in last week.,UNK
1100,ballerina,stage,stage is full of ballerina dancer,UNK
1101,ballerina,toes,ballerinas often dance on their toes.,UNK
1102,bankrupt,broke,those who go bankrupt are broke.,UNK
1103,bankrupt,business,many businesses go bankrupt and then get to start again,UNK
1104,bankrupt,business,the business went bankrupt because of a bad plan.,UNK
1105,bankrupt,customers,due to bankrupt the customers get more trouble.,UNK
1106,bankrupt,debt,"if you're bankrupt, you often have debt.",UNK
1107,bankrupt,devastating,the bankruptcy was a devastating process for the politician.,UNK
1108,bankrupt,empty,those who go bankrupt have an empty bank account.,UNK
1109,bankrupt,irresponsible,the irresponsible businessman ended up bankrupt.,UNK
1110,bankrupt,loss,"this bank faces a lot of loss, so it gets bankrupt.",UNK
1111,bankrupt,money,"he lost too much money so he went bankrupt,",UNK
1112,bankrupt,poor,if you are bankrupt there is a good chance you are now poor,UNK
1113,bankrupt,poor,"if you're bankrupt, people often think that you're poor.",UNK
1114,bastard,acting,he was acting like a bastard.,UNK
1115,bastard,beats,that bastard probably beats his kids.,UNK
1116,bastard,born,the children born for unmarried parents called as bastard,UNK
1117,bastard,child,the child was a bastard as he didn't have parents,UNK
1118,bastard,curse,"the angry ball player started cursing the umpire, using various nasty words including ""bastard.""",UNK
1119,bastard,inglorious,inglorious bastards is a hollywood movie.,UNK
1120,bastard,loud,"in a very loud voice, he called his enemy a lousy bastard.",UNK
1121,bastard,man,a man can be a bastard.,UNK
1122,bastard,man,the man was called a bastard by others.,UNK
1123,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty
1124,bastard,myself,i guess i consider myself a bastard of sorts,UNK
1125,bastard,rude,the bastard was rude and spiteful.,UNK
1126,bastard,song,one of my favorite songs by smile empty soul talks about being a bastard,UNK
1127,bastard,uncaring,a bastard is an uncaring person.,UNK
1128,bastard,uncivil,the bastard was uncivil to the newcomer.,UNK
1129,bastard,unkind,a bastard is probably unkind.,UNK
1130,bastard,unmarried,the children born for unmarried children called as a bad word is bastard,UNK
1131,bastard,wedlock,a bastard is a child had out of wedlock,UNK
1132,bastard,wrestler,there is a wrestler that calls himself a bastard,UNK
1133,bathroom,bathe,i was in the bathroom to bathe.,UNK
1134,bathroom,ceramic,the toilet in a bathroom is usually made of ceramic,UNK
1135,bathroom,clean,bathrooms need to be cleaned frequently.,UNK
1136,bathroom,clean,i saw a clean bathroom in rural areas,UNK
1137,bathroom,home,my bathroom at home is clean.,UNK
1138,bathroom,mirror,he looked carefully in the bathroom mirror as he shaved.,UNK
1139,bathroom,naked,she is naked in the bathroom.,UNK
1140,bathroom,public,the public bathrooms were closed for cleaning.,UNK
1141,bathroom,shower,bathrooms often have a shower in them.,UNK
1142,bathroom,shower,shouldn't you be in the bathroom taking a shower?,UNK
1143,bathroom,shower,showers are generally installed in bathrooms.,UNK
1144,bathroom,sink,he left a sponge in the bathroom sink.,UNK
1145,bathroom,stall,public bathrooms tend to have a stall,UNK
1146,bathroom,stall,the bathroom stall was currently being used,UNK
1147,bathroom,tiles,the tiles were very clean in the bathroom floor,UNK
1148,bathroom,toilet,the toilet took up the whole bathroom.,UNK
1149,bathroom,toilet,the toilet was currently broken in the downstairs bathroom,UNK
1150,bathroom,toothpaste,he noticed that there was no toothpaste to be found in the bathroom,UNK
1151,bathroom,towel,towels are always found in the bathroom.,UNK
1152,bathroom,water,there is no water in the bathroom.,UNK
1153,battle,boxing,i like to watch boxing battles.,UNK
1154,battle,enemy,"a battle implies that there is more than one side, normally the opposing side is referred to as the enemy",UNK
1155,battle,evolve,the battle has just evolved.,UNK
