,cue,association,explanation,relation
459,pensive,elderly,an elderly person can appear pensive when they are deep in thought.,HasProperty
460,permission,allow,"if i give my child permission to spend the night at a friends, i am allowing them to sleep there.",Synonym
461,permission,grant,the employees are granted permission to enter the office building before 9 pm.,Action
462,permission,school,"to go on the school field trip, a student needs a permission slip signed by their parent.",Has-Prerequisite
463,permission,songs,"when using a famous song for their own project, people must get permission from the song's owner.",Has-Prerequisite
464,permission,warrant,the search warrant grants permission to the police to search the suspect's home.,Result-In
465,pharmacy,drugs,the pharmacy didn't really hand out drugs.,Location
466,pharmacy,drugs,there are many drugs in a pharmacy.,Location
467,pharmacy,drugs,you can buy drugs at a pharmacy,Location
468,piece,whole,many pieces make up a whole.,PartOf
469,plague,death,plagues usually result in many deaths.,Result-In
470,planet,pluto,scientist have decided pluto is only a dwarf planet.,Category-Exemplar-Pairs
471,platypus,eggs,a platypus is a mammal that lays eggs.,Action
472,plea,beg,if you are making a plea you are begging,Synonym
473,plea,beg,"when you make a plea for something, you beg for it.",Synonym
474,pocket,back,jeans usually always have back pockets.,Common-Phrase
475,pocket,wallet,i do not forget to keep my wallet in my pocket.,Location
476,pocket,wallet,i put my wallet in my pocket.,Location
477,pocket,wallet,many men put their wallets in their back pockets.,Location
478,pocket,wallet,the man panicked when he couldn't find his wallet in his pocket,Location
479,poison,dangerous,poison is a dangerous substance and should be kept away from children.,HasProperty
480,politics,republicans,republicans are a top party in politics.,Category-Exemplar-Pairs
481,position,job,a position with the company is also called a job.,Synonym
482,position,second,second is a position in ballet.,Thematic
483,position,third,third is a position in ballet.,Category-Exemplar-Pairs
484,possibility,anything,possibilities mean anything can happen.,Result-In
485,possibility,choose,i need to choose an answer out of several possibilities.,Action
486,possibility,face,he will face the possibility of being fired by his company due to misconduct.,Action
487,possibility,odds,many people bet the odds for a possibility of winning a bet.,Thematic
488,possible,can,if something is possible it means i think i can do it,Synonym
489,possible,chance,"if something is possible, there is a chance that it might happen.",Synonym
490,possible,could,anything that is possible could happen.,Has-Prerequisite
491,possible,viable,"if something is viable, it may be possible.",Synonym
492,powder,face,some people put powder on their face.,Location
493,pray,church,church is the place where most people pray,Location
494,pray,church,many people close their eyes to pray at church.,Location
495,pray,church,"when people go to church, they tend to pray",Location
496,prepared,plan,having a plan for something makes you feel more prepared.,Result-In
497,pressure,constraint,constraints can build up pressure and force.,Result-In
498,priest,religious,a priest is a religious leader.,HasProperty
499,princess,daughter,the princess is the daughter of the king and queen.,Category-Exemplar-Pairs
500,printer,cartridge,an ink cartridge needs to be installed in a printer.,PartOf
501,printer,ink,printers often need to have the ink replaced.,PartOf
502,printer,ink,the printer ran out of ink already!?,PartOf
503,printer,ink,the printer ran out of ink and couldn't function,PartOf
504,printer,ink,"the printer, as usual, was low on ink.",PartOf
505,priority,concern,your top priority is your main concern.,Synonym
506,priority,rush,"when something at the post office needs to be rushed, it will be stamped priority.",Has-Prerequisite
507,profit,money,profit is how much money you make.,Category-Exemplar-Pairs
508,prohibition,denied,prohibition denied citizens the right to drink alcohol.,Action
509,promise,keep,i intend to keep any promise i make to anyone.,Action
510,promise,keep,i keep most promises i make.,Action
511,promise,keep,i promise i will keep my children safe.,Action
512,promote,good,he gets promoted due to his good job performance.,Has-Prerequisite
513,promote,higher,my boss will promote me to a higher position after my probation period.,Result-In
514,protect,rights,the constitution is meant to protect the rights of all americans.,Function
515,prove,theory,scientists like to prove a theory.,Action
516,publicity,celebrity,a celebrity generally craves good publicity.,Thematic
517,publicity,press,the press fill us in on all the celebrity's news and publicity.,Function
518,pulse,heart,a person's pulse measures their heart rate.,Function
519,purpose,meaning,the purpose of something is its meaning for existing.,Synonym
520,purpose,reason,something's purpose is its reason for being.,Synonym
521,quick,fast,he is running fast to the bus stop to quickly get into the bus.,Synonym
522,quick,time,i cook quickly in the evening so my family has more time to eat dinner.,Time
523,radar,speeding,a police officer can detect speeding with a radar gun.,Function
524,radioactive,atoms,"when the atoms of an element break apart, it produces radioactive energy.",Result-In
525,radioactive,energy,things that are radioactive have energy in them.,HasProperty
526,radioactive,nuclear,nuclear energy uses things that are radioactive.,HasProperty
527,raspberry,jam,raspberries can be made into jam.,Material-MadeOf
528,rational,smart,you are smart if you think in a rational way.,HasProperty
529,reading,glasses,he needs his reading glasses.,Common-Phrase
530,reading,glasses,my father needs reading glasses.,Common-Phrase
531,reading,glasses,the old man had to use reading glasses as it was difficult to see up close,Common-Phrase
532,ready,start,if you say you are ready then you want to start.,Time
533,ready,time,i always try to get ready in time so i am not late.,Time
534,realistic,pragmatic,a pragmatic person looks at life in a realistic way.,Synonym
535,reality,fantasy,fantasy is the opposite of reality.,Antonym
536,reality,life,humans have to face the reality of life.,Common-Phrase
537,reality,life,reality is what happens in real life.,PartOf
538,reality,living,it is good to live in reality.,Action
539,reason,accept,his boss accepted his reason for resignation.,Action
540,reason,persuade,i need to think of a strong reason to persuade my kids to cut screening time.,Has-Prerequisite
541,record,audio,a record is a device that stores audio.,PartOf
542,record,over,don't record over my shows.,Common-Phrase
543,refreshment,drink,a refreshment can be a drink like orange soda.,Category-Exemplar-Pairs
544,refreshment,drink,"i wanted to see what sort of drinks were at the party, but the refreshments were nowhere to be seen.",Category-Exemplar-Pairs
545,refreshment,drink,the drinks were served to the athletes as refreshments.,Function
546,refreshment,water,water is the best refreshment on the planet.,Category-Exemplar-Pairs
547,refuge,safe,"when you are given refuge, you can feel safe.",Has-Prerequisite
548,refuge,security,a refuge is a place of security.,Synonym
549,reign,king,a king reigns over his kingdom and people.,Function
550,reign,subjects,a ruler reigns over his loyal subjects.,Action
551,relationship,close,i had a close relationship with my parents.,Common-Phrase
552,report,sound,a firework with report will make a loud sound.,HasProperty
553,responsible,adult,adults have a lot of pressure to be responsible.,HasProperty
554,restaurant,food,i like eating food at many restaurants.,Location
555,restaurant,food,restaurants serve food to hungry customers.,Location
556,restaurant,food,restaurants will serve you food,Function
557,restaurant,food,the food at this restaurant is fantastic,Location
558,restaurant,food,the food served at the restaurant was bad.,Location
559,restaurant,gather,people sometimes gather at restaurants.,Location
560,retrospect,past,"when i think in retrospect, i think of things that happened in the past.",Time
561,review,evaluate,"when you review a document, you evaluate how good it is so far.",Synonym
562,roller,spin,a roller ball is made to spin.,Function
563,roman,empire,the roman empire is an ancient country.,Common-Phrase
564,roman,numerals,roman numerals are different from the arabic numerals we use now.,Common-Phrase
565,round,circle,circles are round in shape.,HasProperty
566,running,race,"at the track, athletes can be seen running in a race.",Action
567,running,race,people that race each other are normally running.,Action
568,runny,mucus,the runny implies a nose rilled with mucus,HasProperty
569,safe,fearless,"when you feel safe, you feel fearless.",Result-In
570,safe,relieved,a person gets relieved when he goes to safe place.,Result-In
571,salad,dressing,i always put dressing on my salad.,Thematic
572,salad,dressing,ranch is one of the most common salad dressing.,Common-Phrase
573,salad,dressing,sometimes i like to put a dressing on my salad.,Thematic
574,salad,dressing,the secret to a great salad is the dressing.,Emotion-Evaluation
575,salsa,spicy,salsa is usually good and spicy.,HasProperty
576,sandpaper,wood,i use sandpaper to smooth the wood before staining.,Function
577,saving,money,i am saving enough money to buy a new car.,Action
578,saving,money,i am trying to save money for a vacation.,Action
579,saving,money,saving money is essential for life.,Action
580,saving,money,the family was saving money by not eating out,Action
581,savior,christ,many people consider christ their savior.,Category-Exemplar-Pairs
582,scared,ghost,most people are scared of ghost.,Emotion-Evaluation
583,scared,murder,the residents are scared of the recent murder occurred in the community.,Emotion-Evaluation
584,scout,evaluate,a scout evaluates a players skills.,Function
585,scout,investigate,"when you scout a prospect, you investigate them and their abilities.",Synonym
586,scrap,rid,when you scrap something you get rid of it,Synonym
587,senator,party,a senator belongs to a particular political party.,PartOf
588,senator,vote,one-third of the total membership of the senators get voted every two years.,Action
589,sending,receiving,the opposite of sending something is receiving something.,Antonym
590,series,string,the television series is an interesting string of happenings put together.,PartOf
591,shadowy,dark,"in the dark, everything can look shadowy.",HasProperty
592,shady,sneaky,someone who is shady acts sneaky.,Synonym
593,shady,tree,a tree with lots of leaves is shady.,Result-In
594,shaker,pepper,pepper is frequently kept in a shaker.,Location
595,shape,condition,"the shape an object is in, is the condition of it.",Synonym
596,shark,teeth,sharks uses their razor sharp teeth to tear through everything,PartOf
597,shark,teeth,the shark had very large teeth.,HasProperty
598,shark,teeth,the sharp teeth of the shark.,PartOf
599,shrivel,wither,"when a flower withers, it shrivels down in size.",Result-In
600,shrubbery,garden,i formal garden has manicured shrubbery.,Location
601,signal,indication,a signal is another word for an indication.,Synonym
602,signal,inform,a signal informs people what to do.,Function
603,signal,react,people react to the signal given.,Result-In
604,silver,spoon,i have a silver spoon from my grandmother.,Common-Phrase
605,silver,utensils,utensils are often silver colored.,HasProperty
606,simple,living,my philosophy on living is to keep everything simple.,Thematic
607,single,one,a single ice cream cone contains one scoop of ice cream.,Synonym
608,singular,one,singular means there is only one,Synonym
609,singular,one,singular means there is only one of something.,Synonym
610,singular,one,"when you have a singular object, you only have one.",Synonym
611,sister,daughter,my sister is my mother's daughter.,Members-of-the-same-Category
612,skill,hobby,some people have skills that they have turned into a hobby.,Result-In
613,skill,sports,some people have a high level of skill in sports.,Thematic
614,skunk,smell,"oddly enough, the skunk didn't smell.",HasProperty
615,skunk,smell,skunks are known for creating terrible smells,HasProperty
616,skunk,smell,skunks smell bad when they spray.,HasProperty
617,skunk,smell,the smell of a skunk is one of the worst odors.,HasProperty
618,skunk,smell,the smell of the skunk spray was overwhelming outside.,HasProperty
619,skunk,smell,"when a skunk sprays a person or object, the smell is strong.",HasProperty
620,sling,long,a sling is a long strap used to support a weight.,HasProperty
621,sling,support,i use an arm sling to support my broken arm.,Function
622,soldier,billy,"""one tin soldier"" was the theme song for the movie ""billy jack.""",Thematic
623,soldier,fighter,soldiers are trained fighters for war.,Category-Exemplar-Pairs
624,soldier,tomb,the tomb of the unknown soldier is in arlington national cemetery.,Location
625,space,stars,i'm sure being in space means you get to see a bunch of stars.,Location
626,space,stars,space has a lot of stars in it.,PartOf
627,space,stars,space is like the house for stars.,PartOf
628,space,stars,the space is full with stars.,PartOf
629,spare,change,coins are often called spare change.,Common-Phrase
630,spare,tire,a spare tire is a common thing in a car.,Common-Phrase
631,spare,tire,he was lucky he had a spare tire.,Common-Phrase
632,spare,tire,i care a spare tire in case of a blow out.,Common-Phrase
633,spare,tire,i used my spare tire when i got a flat driving my car yesterday.,Common-Phrase
634,spare,tire,you need to have a spare tire for your car.,Common-Phrase
635,special,interesting,if something is special then it's often interesting.,Synonym
636,special,unique,something that is special is usually unique.,Synonym
637,spotted,leopard,a leopard is a spotted big cat.,HasProperty
638,stairs,floors,the stairs take you to different floors in the house.,PartOf
639,stall,car,if you don't shift correctly then your car can stall.,Action
640,stance,posture,having a good stance is the same as having good posture.,Synonym
641,standing,feet,my feet hurt when i've been standing for a long time.,Result-In
642,standing,posture,"when someone is standing, their posture can be observed.",Result-In
643,starting,first,i will be starting first thing in the morning.,Common-Phrase
644,starting,first,they first pray to god when starting the ceremony.,Time
645,starting,show,the show will be starting.,Action
646,steady,endurance,running at a steady pace shows that you have endurance.,Has-Prerequisite
647,steady,race,moving at a steady pace is a good method for running a race.,Action
648,steady,stable,"when someone is steady, they are stable on their feet.",Synonym
649,stick,match,matches are usually in stick form.,HasProperty
650,store,purchase,you can purchase many things in a store.,Location
651,story,author,authors write stories for a living.,Function
652,story,multiple,a building can have multiple stories,Common-Phrase
653,strand,thread,a strand of thread is used for sewing.,PartOf
654,strategic,calculated,a strategic plan is careful calculated.,Synonym
655,strategic,tactical,a strategic plan should be very tactical.,Synonym
656,summer,hot,in summer it gets hot.,HasProperty
657,summer,hot,in the summer it gets hot.,HasProperty
658,summer,hot,it is usually hot in the summer time,HasProperty
659,summer,hot,summer is always very hot.,HasProperty
660,support,politician,you can support a politician by putting a yard sign in your yard.,Action
661,supportive,helpful,being helpful to show you are supportive of a friend is great.,Synonym
662,surpass,beyond,surpassing somebody means going beyond their ability.,Synonym
663,surpass,beyond,we surpassed our goal beyond our biggest hopes.,Synonym
664,surpass,beyond,when you surpass a barrier you go beyond it.,Synonym
665,surpass,excel,"when a person surpasses what they're are supposed to do, they excel.",Synonym
666,surprise,birthday,people like to surprise their loved ones with a party on their birthday.,Time
667,sweet,caroline,"neil diamond had a huge hit with the song ""sweet caroline.""",Common-Phrase
668,tablet,ipad,the ipad is one of the most popular tablets.,Category-Exemplar-Pairs
669,tactful,conversation,when having a conversation you have to be tactful with your words so you don't hurt anyone's feelings.,Action
670,tactful,words,"when trying to be tactful, you need to choose your words carefully.",Has-Prerequisite
672,temptation,dessert,i think dessert is a temptation for many people.,Emotion-Evaluation
673,temptation,resist,people often try to resist temptation.,Common-Phrase
674,thousand,million,a million comes after a thousand.,Members-of-the-same-Category
675,thousand,money,"70 thousand of dollar money, i spend the social activity",Thematic
676,thousand,money,a thousand dollars is a lot of money.,Thematic
677,thousand,money,i associated thousand with money because of a thousand dollars.,Thematic
678,thousand,years,a thousand years is a length of time.,Common-Phrase
679,throat,sore,a sore throat is associated with colds and flu.,HasProperty
680,tired,feel,i feel tired after a long day of work.,Emotion-Evaluation
681,tired,work,he is tired after working overtime for two days.,Result-In
682,total,all,the total number of an object includes all of them.,Synonym
683,tradition,jimmy,"many people have the tradition at christmas time of watching ""it's a wonderful life"" with jimmy stewart.",Thematic
684,trial,verdict,a trial has the outcome of a verdict.,Result-In
685,truth,honest,someone who tells the truth is honest.,Synonym
686,twist,cap,you twist the cap off a bottle.,Action
687,understand,language,when someone speaks a second language they understand it.,Action
688,utilize,advantage,the team utilized their height advantage to win the game.,Action
689,utilize,advantage,utilize or take advantage of the tools you have.,Synonym
690,vacation,chevy,"chevy chase starred in a move called ""vacation.""",Thematic
691,vacuum,noisy,a vacuum is noisy when it is working.,HasProperty
692,vampire,sharp,a vampire has two sharp teeth.,HasProperty
693,vampire,sunlight,a vampire is afraid of being exposed to sunlight.,Thematic
694,vegetation,food,vegetation is grown to make food for humans.,Function
696,vegetation,water,the process of vegetation requires supply of water.,Has-Prerequisite
697,violate,breach ,"when a building is breached, someone has violated the safety blocks.",Synonym
698,vivid,bright,"when a photo is vivid, the colors are very bright.",HasProperty
699,volcano,helens,mt. st. helens is a well-known volcano in washington.,Category-Exemplar-Pairs
700,waste,bad,he has a bad habit of wasting food.,Emotion-Evaluation
701,waste,money,i do not like wasting money on unnecessary things.,Action
702,weekend,break,the weekend is a short break from work.,Time
703,weekend,yardwork,"this weekend, i will do yardwork.",Time
704,weeping,sad,a person that is weeping is very sad.,Result-In
705,weeping,sad,if someone is weeping they are likely sad.,Category-Exemplar-Pairs
706,weeping,sad,"if someone is weeping, it's because they are sad.",Result-In
707,weeping,sad,if you are very sad you might start weeping.,Result-In
708,weeping,willow,a weeping willow is a tree.,Common-Phrase
709,weeping,willow,a weeping willow is a type of tree,Common-Phrase
710,weeping,willow,a weeping willow is a type of tree.,Common-Phrase
711,weeping,willow,i have a weeping willow tree in the front yard.,Common-Phrase
712,weirdo,unique,a weirdo is a unique person.,HasProperty
713,woman,breasts,a woman has breasts that are typically larger than a man.,PartOf
714,woman,pregnancy,a woman goes to the doctor during her pregnancy.,HasProperty
715,wonder,awe,"if you are in wonder of something, you are in awe of it.",Synonym
716,wonder,contemplate,to wonder about something means that someone is contemplating.,Synonym
717,working,computer,most working people use a computer for many hours during the day.,Function
718,worried,scared,"when someone is worried about something, they are usually scared about that particular subject.",Synonym
719,worry,weather,many people worry about the weather for different reasons.,Emotion-Evaluation
720,wounds,heal,"with time, most wounds heal.",Action
721,wrath,punishment,"when parents give their child a punishment, the child is feeling the parents' wrath.",Emotion-Evaluation
722,writing,book,she ha been writing her book for four years but still had much research to do.,Action
723,writing,book,sometimes people write so they can write a book,Action
724,writing,book,the author was writing a new book that was going to be 300 pages,Action
725,writing,book,the book i'm writing won't be done for a long time.,Action
726,writing,essay,she starts writing an essay for her college enrollment.,Action
727,yelling,loud,if someone is yelling then they're loud.,HasProperty
