,cue,association,explanation,relation
879,cholesterol,fat,cholesterol is a type of fat.,Category-Exemplar-Pairs
880,cholesterol,medication,if your cholesterol is too high you might need to take medication for it.,Has-Prerequisite
882,clear,transparent,clear has a similar meaning as transparent.,Synonym
884,climber,mountain,a climber can be seen hiking on a mountain.,Location
886,climber,mountain,the climber ascended the mountain slowly.,Location
887,climber,mountain,the climber got to the top of the mountain.,Location
888,clock,wall,a clock can hang on a wall,Location
889,clock,wall,clocks sometimes hang on the wall.,Location
890,clock,wall,most walls have a clock on them.,Location
893,closed,open,a door can be open or closed.,Antonym
894,closed,open,the opposite of something being closed is when it's open.,Antonym
895,closer,farther,closer is the opposite of farther.,Antonym
896,closer,nearer,closer is a synonym for nearer.,Synonym
898,clove,plant,clove can also mean a form of plant.,Category-Exemplar-Pairs
899,coffee,caffeine,coffee usually has a lot of caffeine in it,PartOf
900,coffee,caffeine,the caffeine in the coffee made my stomach hurt.,PartOf
901,coffee,bitter,"when you drink coffee straight without any sugar or cream, it tastes bitter.",HasProperty
904,commander,leader,commander has a similar meaning as leader.,Synonym
905,comment,opinion,comment is the synonym of the opinion,Synonym
908,community,people,people are part of a community.,PartOf
911,comrade,family,a comrade is a person that is part of the family.,PartOf
912,concede,admit,concede has a similar meaning as admit.,Synonym
913,conceited,egotistical,conceited has a similar meaning as egotistical.,Synonym
914,conceited,vain,conceited has a similar meaning as vain.,Synonym
915,confused,befuddled,confused is a synonym for befuddled.,Synonym
916,conundrum,riddle ,a riddle is a type of conundrum.,Category-Exemplar-Pairs
917,conundrum,problem,conundrum is a synonym for problem.,Synonym
918,cordial,friendly,cordial has a similar meaning as friendly.,Synonym
920,cornucopia,profusion,cornucopia is also defined as the profusion,Synonym
921,corny,banal,corny has a similar meaning as banal.,Synonym
922,corny,vapid,corny has a similar meaning to vapid.,Synonym
924,cotton,cloth,my cloth is mostly made of cotton.,Material-MadeOf
925,counsel,therapy,"when you seek therapy, you need to be counseled.",Has-Prerequisite
927,counterfeit,false,counterfeit is a synonym for false.,Synonym
928,cover,blanket,a blanket is a type of cover.,Category-Exemplar-Pairs
930,cream,colour,cream is a type of colour.,Category-Exemplar-Pairs
931,cream,dessert,desserts often feature some type of cream.,Category-Exemplar-Pairs
932,credit,income,credit needs to be established with income.,Has-Prerequisite
933,critical,reproving,critical has a similar meaning as reproving.,Synonym
937,crying,sadness,when you are full of sadness sometimes you just need to cry.,Has-Prerequisite
938,crying,sob,cry has a similar meaning as sob.,Synonym
939,crying,weep,cry has a similar meaning as weep.,Synonym
940,crystal,chandelier,there are many fancy chandeliers made of crystal.,Material-MadeOf
941,danger,threat,"sometimes, a threat can be a type of danger.",Category-Exemplar-Pairs
943,decision,outcome,a decision is another word for an outcome.,Synonym
944,decisive,done,to get a job done there needs to be a decisive person on the team.,Has-Prerequisite
948,decor,look,decor has a similar meaning as look.,Synonym
949,defense,offense,the defense is the opposite of the offense.,Antonym
950,defense,offense,the opposite of defense is offense.,Antonym
951,delicious,mouthwatering,delicious has a similar meaning as mouthwatering.,Synonym
953,design,plan,plan is the another word of design,Synonym
954,diagram,drawing,a diagram is a type of drawing,Category-Exemplar-Pairs
955,diagram,picture,a diagram is a type of picture,Category-Exemplar-Pairs
957,different,dissimilar,"if two things are different they a not similar, or dissimilar",Synonym
958,discuss,argument,an argument is a part of a discussion.,PartOf
959,dismiss,terminate,dismiss is the synonym of the terminate,Synonym
960,doctor,surgeon,a surgeon is a type of doctor.,Category-Exemplar-Pairs
961,doctor,clinician,doctor has a similar meaning as clinician.,Synonym
962,domestic,family,your household and family are part of your domestic responsibilities.,PartOf
963,domestic,internal,domestic is the another word of internal,Synonym
964,domestic,foreign,something is either foreign or domestic.,Antonym
965,downstairs,upstairs,downstairs is the opposite of upstairs.,Antonym
966,dream,sleep,daily i am getting dream during the sleep time.,PartOf
967,drive,license,get a license and then drive the cars,Has-Prerequisite
968,drive,license,license is very important for drive,Has-Prerequisite
969,drive,vehicle,without vehicle we cannot drive so this is also more related,Has-Prerequisite
970,education,learning,to get an education you need to be learning.,Has-Prerequisite
971,elated,delighted,elated has a similar meaning as delighted.,Synonym
972,elated,thrilled,elated has a similar meaning as thrilled.,Synonym
973,electricity,science,electricity is part of science.,PartOf
974,element,metals,a couple of elements are made of precious metals.,Material-MadeOf
975,element,chemistry,element is the part of the chemistry,PartOf
976,element,krypton,krypton is the part of the element,PartOf
977,elementary,basic,basic is a synonym of elementary.,Synonym
979,entire,complete,entire has a similar meaning as complete.,Synonym
980,environment,ocean,the ocean is a part of the environment.,PartOf
981,environment,tree,trees are a part of the environment.,PartOf
983,escape,flee,escape has a similar meaning as flee.,Synonym
985,especially,mostly,mostly has a similar meaning as especially.,Synonym
987,excellent,great ,great is another word for excellent.,Synonym
989,exciting,thrilling,exciting has a similar meaning as thrilling.,Synonym
990,explain,understand,"to understand the concept, you need to explain it again.",Has-Prerequisite
992,extremely,very,extremely is a synonym for very.,Synonym
993,failing,practice,"when you keep failing, you need to practice more",Has-Prerequisite
994,family,sister,my sister is an important part of my family.,PartOf
995,fantastic,fabulous,fabulous is the another word related to fantastic,Synonym
996,fantasy,magic,a fantasy setting usually contains some type of magic.,Category-Exemplar-Pairs
998,father,mother,my father and mother have a great relationship.,Antonym
1000,fickle,picky,fickle is a synonym for picky.,Synonym
1001,fighter,boxer,a boxer is a type of fighter.,Category-Exemplar-Pairs
1003,final,last,final has a similar meaning as last.,Synonym
1004,flashlight,lantern,a flashlight is similar to a lantern.,Synonym
1005,floor,hard,a floor made of tile is very hard.,Material-MadeOf
1007,forgot,failed,failed has a similar meaning as forgot.,Synonym
1008,forgot,remember,i try to remember certain things but often forget because i'm so busy.,Antonym
1009,forgot,remember,"if i forgot something, i didn't remember it.",Antonym
1010,forgot,remember,the opposite of forgetting is remembering.,Antonym
1011,forgot,remember,when i forgot the party i failed to remember it,Antonym
1014,furnace,incinerator,an incinerator is a type of furnace that burns things to produce heat.,Category-Exemplar-Pairs
1015,furnace,service,the furnace needed to be serviced soon.,Has-Prerequisite
1016,gangster,mob,a gangster is part of the mob,PartOf
1020,gateway,entrance,gateway is the another word of entrance.,Synonym
1022,gelatin,jelly,gelatin is used to make most types of jelly.,Category-Exemplar-Pairs
1023,general,specific,general is the opposite of specific.,Antonym
1024,gently,kindly,gently has a similar meaning as kindly.,Synonym
1025,gently,tenderly,gently has a similar meaning as tenderly.,Synonym
1026,glass,clear,glass is a clear substance.,HasProperty
1028,glass,cup,a cup can be made of glass.,Material-MadeOf
1029,glass,mirror,a mirror is made of glass.,Material-MadeOf
1031,goose,animal,a goose is an animal.,Category-Exemplar-Pairs
1032,goose,bird,a goose is a type of bird.,Category-Exemplar-Pairs
1034,goose,white,goose have white coats on their bodies.,HasProperty
1035,goose,game,a goose is a type of board game.,Category-Exemplar-Pairs
1037,government,congress,congress is a part of the government.,PartOf
1038,government,congress,congress is part of the american government.,PartOf
1039,government,judiciary,judiciary system is the important part of the government,PartOf
1040,grandma,family,grandma is considered an important party of family,PartOf
1041,grandma,family,my grandma is very important person in my family.,PartOf
1042,grandmother,family,my grandmother is part of my extended family.,PartOf
1043,grater,metal,a cheese grater is normally made of metal,Material-MadeOf
1044,green,colour,green is a type of colour.,Category-Exemplar-Pairs
1047,grounds,soil,grounds can have different types of soil,Category-Exemplar-Pairs
1049,hardly,scarcely,hardly has a similar meaning as scarcely.,Synonym
1050,haven,forever,forever live in the haven,Location
1051,haven,refuge,haven has a similar meaning as refuge.,Synonym
1052,haven,retreat,haven has a similar meaning as retreat.,Synonym
1053,heaven,hell,hell is the opposite of heaven,Antonym
1054,heaven,life,heaven will be the best part of life.,PartOf
1056,highest,peak,the highest part of a mountain is called the peak,PartOf
1057,hillbilly,country,hillbillies prefer to live in the country,Location
1058,hillbilly,mountains,the hillbilly usually lives in the mountains.,Location
1059,hillbilly,southern,the hillbilly usually lives in the southern part of the us.,Location
1062,hippo,pink,a hippo is a big pink animal.,HasProperty
1063,hippo,africa,hippo live in the continent of africa,Location
1065,hollow,dented,hollow is the synonym of the dented,Synonym
1066,hollow,dished,hollow is also defined as dished,Synonym
1067,horrible,terrible,terrible is another word for horrible.,Synonym
1068,horse,animal,a horse is a type of animal.,Category-Exemplar-Pairs
1070,house,door,"the door is a part of a house, without a door you cant get into the house",PartOf
1073,house,family,my family lives in a small house.,Location
1074,hydrate,drink,if you need to hydrate you need to get a drink,Has-Prerequisite
1075,hydrate,drink,to hydrate yourself you need to drink something,Has-Prerequisite
1077,ice,melt,ice needs heat to melt.,Action
1079,idiotic,dumb,dumb is another word for idiotic.,Synonym
1080,igloo,eskimo,eskimos live in igloos sometimes,Location
1081,igloo,eskimo,the eskimo lived in an igloo.,Location
1082,igloo,ice,igloo's are made of blocks of ice.,Material-MadeOf
1083,igloo,ice,igloos are made of ice.,Material-MadeOf
1084,igloo,ice,the igloo was made of ice,Material-MadeOf
1085,immortal,mortal,mortal is an oppeosite word of immortal.,Antonym
1086,indent,format,indent is a form of format on microsoft word.,Category-Exemplar-Pairs
1088,indent,notch,indent has a similar meaning as notch.,Synonym
1091,inside,outside,inside and outside are opposites.,Antonym
1092,instant,immediately,instantly is another word for immediately,Synonym
1094,interested,curious,curious is a synonym for interested,Synonym
1095,interested,engaged,engaged is used as a synonym for interested,Synonym
1096,intervene,intercede,intervene has a similar meaning as intercede.,Synonym
1097,intervene,interrupt,intervene has a similar meaning as interrupt.,Synonym
1098,intervene,intrude,often times when someone intervenes on another person it is very similar to intruding.,Synonym
1099,intrinsic,inherent,intrinsic properties are similar to an inherent trait.,Synonym
1100,inward,inside,inward is similar to looking inside of something.,Synonym
1103,jerky,beef,the jerky is made of beef.,Material-MadeOf
1104,jester,comedian,jesters are similar to modern day comedians.,Synonym
1106,jobless,unemployed,jobless also defined as the unemployed,Synonym
1108,jolly,merry,jolly is another word for merry.,Synonym
1109,judgment,decision,a decision can be synonymous for a judgment.,Synonym
1110,lately,recently,lately has a similar meaning as recently.,Synonym
1111,lately,recently,recently is another word to describe lately.,Synonym
1114,ledger,account book,ledger is also defined as the account book,Synonym
1115,ledger,record,ledger is defined as the record,Synonym
1116,legal,illegal,if something is not legal it is illegal.,Antonym
1117,legal,illegal,the opposite of being legal is illegal.,Antonym
1118,liberty,right,liberty is a form of human right.,Category-Exemplar-Pairs
1119,lieutenant,military,a lieutenant is part of the military.,PartOf
1120,local,inhabitant,local has a similar meaning as inhabitant.,Synonym
1121,local,native,local has a similar meaning as native.,Synonym
1122,locked,sealed,a locked gate is similar to a sealed entrance an egyptian tomb.,Synonym
1124,longer,largest,longer is another word of largest,Synonym
1126,loose,sloppy,a loose meat sandwich is similar to a sloppy joe.,Synonym
1127,loose,tight,"it was supposed to be loose, but it's tight.",Antonym
1128,loosen,tie,when you wear a tie to take it off you need to loosen it,Has-Prerequisite
1129,loosen,slacken,loosen word is similar to slacken,Synonym
1130,lord,ruler,a ruler is another word for a lord.,Synonym
1131,loudly,quietly,loudly is the opposite of quietly.,Antonym
1132,madam,lady,a madam is another word for a lady.,Synonym
1133,madam,woman,a madam is another word for a woman.,Synonym
1134,major,minor,the opposite of major is minor.,Antonym
1135,majority,minority,majority is the opposite of minority.,Antonym
1136,majority,minority,the opposite of majority is minority.,Antonym
1137,makeup,lipstick,lipstick is one type of makeup.,Category-Exemplar-Pairs
1138,makeup,powder,makeup also come in the form of powder.,Category-Exemplar-Pairs
1141,matter,business,matter has a similar meaning as business.,Synonym
1143,maybe,perhaps,maybe is a synonym for perhaps.,Synonym
1144,mayor,town,the mayor is having a meeting at town hall,Location
1145,mayor,government,a mayor is part of the government,PartOf
1146,mayor,town,a mayor is part of a town's government.,PartOf
1147,mechanics,worker,a mechanic is a type of worker.,Category-Exemplar-Pairs
1148,medicine,cabinet,i have a special cabinet for my medicines.,Location
1149,medicine,cabinet,"if you feel sick, there is some medicine in the cabinet.",Location
1150,medicine,pills,a lot of medicine comes in the form of pills,Category-Exemplar-Pairs
1153,merchandise,shirt,shirt is the part of the merchandise,PartOf
1155,mischievous,bad,mischievous has a similar meaning as bad.,Synonym
1156,misguided,human,being occasionally misguided is an unavoidable part of the human experience.,PartOf
1157,mission,military,mission is something that is defined in the military service,Synonym
1160,monster,bed,a monster might be hiding under the bed.,Location
1161,monster,bed,i look for monsters underneath my bed.,Location
1163,morning,coffee,people commonly have coffee as a part of their morning routine,PartOf
1164,mother,mom,"when i think of the word mother, i also think of its synonym, which is mom.",Synonym
1165,nasal,nose,your nasal cavity is part of your nose.,PartOf
1169,neglect,ignore,ignoring your children is a form of neglect.,Category-Exemplar-Pairs
1170,nickel,coin,a nickel is a type of coin.,Category-Exemplar-Pairs
1171,nickel,coins,a nickel is a type of coin.,Category-Exemplar-Pairs
1172,nickel,metal ,nickel is a type of metal.,Category-Exemplar-Pairs
1175,notify,tell,notify has a similar meaning as tell.,Synonym
1176,notwithstanding,but,but has a similar meaning to notwithstanding.,Synonym
1177,notwithstanding,however,however is a synonym of notwithstanding.,Synonym
1179,nurse,hospital,my son wants to be a nurse in a hospital.,Location
1180,nurse,hospital,"nurses work in hospitals, so hospital quickly came to mind.",Location
1181,nurse,hospital,the nurse worked hard in the emergency room at the hospital.,Location
1182,objective,mission,my objectives are part of my mission.,PartOf
1183,objective,subjective,the opposite of objective is subjective.,Antonym
1185,opinion,newspaper,i see a lot of opinion pieces in the newspaper,Location
1187,outside,inside,the opposite of outside is inside.,Antonym
1188,overdue,delayed,overdue is the synonym of the delayed.,Synonym
1189,overdue,late,overdue is also defined as the late,Synonym
1190,overwhelm,swamp,swamp whose meaning is similar to the word overwhelm,Synonym
1191,palace,king,the king lived in a palace with his family,Location
1192,palace,queen,"her majesty, the queen lives in the palace.",Location
1194,paper,tree,the paper is gotten from the tree.,Material-MadeOf
1195,parliament,government,parliament is a type of government in many countries.,Category-Exemplar-Pairs
1196,parliament,government,parliament is part of the government.,PartOf
1197,payment,zelle,zelle was an accepted form of payment at the store,Category-Exemplar-Pairs
1198,peace,love,love is needed to make peace.,Has-Prerequisite
1199,pensive,cerebral,cerebral is another word for pensive because pensive is used to indicate serious thought.,Synonym
1201,pessimist,optimist,"an optimist is the opposite of a pessimist,",Antonym
1202,pessimist,optimists,pessimists are the polar opposites of optimists.,Antonym
1203,pessimist,optimist,the opposite of a pessimist is an optimist.,Antonym
1205,piano,heavy,a piano is usually really heavy.,HasProperty
1206,piano,music,a piano is used to make music.,Function
1207,piano,music,a piano is used to produce music.,Function
1208,piano,music,piano is a beautiful instrument that plays music.,Function
1209,piano,instrument,a piano is a type of musical instrument.,Category-Exemplar-Pairs
1210,picture,photograph,a picture is another word for a photograph.,Synonym
1211,piety,shrine,i think of a piety as being similar to a shrine as both the piety and shrine are treated as sacred objects.,Synonym
1214,planet,space,there are many planets in outer space.,Location
1216,plant,garden,i planted flowers in my garden.,Location
1218,platypus,animal,the platypus was an animal that lived in the water,Category-Exemplar-Pairs
1219,platypus,mammal,a platypus is a mammal.,Category-Exemplar-Pairs
1220,platypus,mammal,the duck-billed platypus is a mammal.,Category-Exemplar-Pairs
1221,police,government,police are part of a government.,PartOf
1222,policy,law,a law is one type of a policy.,Category-Exemplar-Pairs
1223,poorly,crappy,"when things are done poorly, a synonym i like to use is crappy",Synonym
1224,portray,describe,portray is also defined as the describe,Synonym
1225,potato,vegetable,a potato is a type of vegetable.,Category-Exemplar-Pairs
1226,potato,vegetable,a potato is a vegetable.,Category-Exemplar-Pairs
1227,potato,vegetable,potato is a type of vegetable,Category-Exemplar-Pairs
1228,potato,vegetables,a potato is a type of vegetable.,Category-Exemplar-Pairs
1229,powder,coke,coke is a form of powder.,Category-Exemplar-Pairs
1230,pray,faith,a person of faith prays a lot.,Has-Prerequisite
1231,premium,reward,premium is defined as the reward,Synonym
1234,princess,palace,a princess lives in a palace.,Location
1235,probably,likely,probably is a synonym for likely.,Synonym
1236,professor,teacher,a professor is a type of teacher.,Category-Exemplar-Pairs
1237,professor,college,the word professor is almost synonymous to college or university.,Synonym
1239,program,television,there are a lot of programs on the television.,Location
1240,program,initiative,program has a similar meaning as initiative.,Synonym
1241,program,plan,program has a similar meaning as plan.,Synonym
1242,proof,evidence,if you are giving proof there usually needs to be some type of evidence.,Category-Exemplar-Pairs
1243,proud,haughty,haughty is the synonym of the proud,Synonym
1244,prove,evidence,evidence is needed to prove a theory.,Has-Prerequisite
1246,proxy,broker,proxy is also defined as the broker,Synonym
1247,public,known,public has a similar meaning as known.,Synonym
1248,public,overt,public has a similar meaning as overt.,Synonym
1249,purse,bag,purse is a small form of bag,Category-Exemplar-Pairs
1251,question,inquiry,question has a similar meaning as inquiry.,Synonym
1252,question,query,question has a similar meaning as query.,Synonym
1253,quick,fast,quick is the synonym of the fast,Synonym
1254,quick,rapid,quick is also defined as a rapid,Synonym
1255,quiet,loud,quiet is the opposite of loud.,Antonym
1256,quiet,noisy,quiet is the opposite of noisy.,Antonym
1257,rabbit,animal,a rabbit is a small type of animal.,Category-Exemplar-Pairs
1259,rabbit,animal,rabbit is a fast animal.,Category-Exemplar-Pairs
1260,rabbit,furry,the rabbit was big and furry.,HasProperty
1261,rabbit,pet,he kept a rabbit as a pet.,Function
1262,rabbit,warren,the rabbits lived in an extensive warren.,Location
1263,raspberry,fruit,a raspberry is a fruit.,Category-Exemplar-Pairs
1265,raspberry,fruit,i have always had the doubt whether raspberry is a fruit or a berry.,Category-Exemplar-Pairs
1266,raspberry,fruit,raspberry is a fruit that few people talk about,Category-Exemplar-Pairs
1268,raspberry,pink,the sweet raspberry was pink.,HasProperty
1269,raspberry,red,raspberries are mostly red in color.,HasProperty
1270,raspberry,red,raspberries are small red colored fruit.,HasProperty
1273,reading,scrutiny,reading has a similar meaning as scrutiny.,Synonym
1274,regardless,anyway,anyway is just another synonym for regardless.,Synonym
1275,relationship,family,family is a type of relationship.,Category-Exemplar-Pairs
1276,relationship,association,relationship has a similar meaning as association.,Synonym
1277,relationship,link,relationship has a similar meaning as link.,Synonym
1278,relax,chill,chill is just another word for laying back and relaxing.,Synonym
1279,replace,convert,"to convert something into something else, you need to replace parts.",Has-Prerequisite
1280,replace,change,replace also defined as the change,Synonym
1281,replace,substitute,replace is the synonym of the substitude,Synonym
1282,rescue,equipment,equipment is needed to perform a rescue.,Has-Prerequisite
1283,rhapsody,bohemian,the word rhapsody is part of a song name called bohemian rhapsody.,PartOf
1284,rifle,gun,a rifle is a dangerous gun.,Category-Exemplar-Pairs
1285,rifle,gun,a rifle is a type of gun,Category-Exemplar-Pairs
1287,rifle,hunting,he killed them with his hunting rifle.,Function
1288,rifle,hunting,"if you are hunting deer, you need to being along a rifle.",Function
1290,rifle,weapon,a rifle is a weapon,Category-Exemplar-Pairs
1292,rifle,hunting,"if you are hunting deer, you need to being along a rifle.",Has-Prerequisite
1293,right,left,i need to know whether to turn left or right when driving.,Antonym
1295,roughly,forcefully,roughly has a similar meaning as forcefully.,Synonym
1296,roughly,violently,roughly has a similar meaning as violently.,Synonym
1297,running,cardio,running is a good form of cardio training.,Category-Exemplar-Pairs
1299,sandpaper,harsh,sandpaper has a harsh texture.,HasProperty
1300,sandpaper,rough,the sandpaper was too rough for the job.,HasProperty
1301,sandpaper,rough,the sandpaper was very rough on the outside,HasProperty
1302,sandpaper,sanding,i need sandpaper for sanding.,Function
1304,scared,frightened,frightened is a synonym for scared.,Synonym
1305,score,tally,a score is a type of tally kept in a game between two teams.,Category-Exemplar-Pairs
1307,seldom,rarely,seldom is a synonym for rarely.,Synonym
1308,sense,taste,taste is a type of sense.,Category-Exemplar-Pairs
1309,sequence,line,"a line is a form of sequence, one after the other.",Category-Exemplar-Pairs
1311,seriously,solemnly,seriously has a similar meaning as solemnly.,Synonym
1312,settle,relax,"if you want to settle down, then you need to relax.",Has-Prerequisite
1313,settle,situate,if you want to settle then you need to situate everything.,Has-Prerequisite
1315,shaker,container,a shaker is a type of container.,Category-Exemplar-Pairs
1317,shanty,poor,poor people lives in shanty.,Location
1319,shark,ocean,"sharks hunt in the water, so be careful at the ocean if you see one.",Location
1320,shark,tank,sharks are sometimes locked in tanks.,Location
1321,shark,big,the shark is very big.,HasProperty
1322,shark,large,sharks are very dangerous and extremely large.,HasProperty
1323,shark,sea,sharks usually live in the sea.,Location
1325,shrink,grow,grow is the opposite of shrink.,Antonym
1326,silver,metal,silver is a type of metal.,Category-Exemplar-Pairs
1327,silver,cutlery,all of the cutlery was made of silver.,Material-MadeOf
1328,silver,jewelry,i prefer my jewelry that is made of silver rather than gold.,Material-MadeOf
1329,silver,ring,the ring on the woman's finger was made of silver,Material-MadeOf
1330,simply,unburdened,simply defines a condition where one is unburdened of many things in a situation.,Synonym
1331,sincerely,truly,sincerely is a synonym of truly.,Synonym
1332,single,married,a single person is not married.,Antonym
1333,singular,plural,singular is the opposite of plural,Antonym
1335,skunk,animal,a skunk is one of many types of animals.,Category-Exemplar-Pairs
1336,skunk,animal,the animal that i had run over was a skunk.,Category-Exemplar-Pairs
1337,skunk,smelly,skunks can be very smelly,HasProperty
1338,skunk,stripe,the stunk had a large stripe.,HasProperty
1339,small,big,small is the antonym of the big,Antonym
1340,small,big,the opposite of small is big.,Antonym
1342,snuggle,nestle,snuggle has a similar meaning as nestle.,Synonym
1343,snuggle,settle,snuggle has a similar meaning as settle.,Synonym
1344,soccer,sport,soccer is a form of sport,Category-Exemplar-Pairs
1345,socialism,government,socialism is a form of politics which i associate with the government.,Category-Exemplar-Pairs
1346,socialism,government,socialism is a type of government.,Category-Exemplar-Pairs
1347,solvent,chemical,solvents are usually made with harsh chemicals.,Material-MadeOf
1348,solvent,cleaner,the cleaner was made of two different solvent liquids.,Material-MadeOf
1350,south,north,south is the opposite of north directions wise,Antonym
1352,sowing,soil,"when you're sowing something, you need to use soil to plant it.",Has-Prerequisite
1353,spaghetti,pasta,spaghetti is a specific type of stringy pasta.,Category-Exemplar-Pairs
1354,spaghetti,pasta,spaghetti is a type of pasta.,Category-Exemplar-Pairs
1355,speech,talk,speech is a synonym of talk.,Synonym
1356,speech,talking,talking is another word for speech,Synonym
1358,split,cut,"if you want to split an object, you need to cut it.",Has-Prerequisite
1360,squeak,screak,squeak is the synonym of the screak,Synonym
1361,stability,assurance,assurance is a form of stability and vice versa.,Category-Exemplar-Pairs
1362,stage,theater,actors perform on a stage in a theater.,PartOf
1363,stairs,wood,many stairs are made of wood,Material-MadeOf
1365,stall,bathroom,i expect to find a stall in a bathroom.,Location
1366,stall,bathroom,i waited at the bathroom stall to pee.,Location
1367,stall,bathroom,the bathroom stall was occupied,Location
1368,stall,bathroom,there are many stalls in the bathroom,Location
1369,stall,bathroom,there are stalls inside a public bathroom.,Location
1370,stall,horse,horses live in stalls in a barn.,Location
1371,steak,grill,a steak is a type of meat that is often cooked on a grill.,Location
1372,steak,meat,steak is a type of meat.,Category-Exemplar-Pairs
1373,stencil,sheet,stencil can be a form of a thin sheet.,Category-Exemplar-Pairs
1374,stick,branch,the stick is a branch of the tree,Synonym
1375,stone,construction,the stone used for construction was the best,Function
1376,stone,gem,a gem is a type of valuable stone.,Category-Exemplar-Pairs
1377,stone,mountain,a mountain is made of stone.,Material-MadeOf
1378,stone,wall,a wall can be made of stone.,Material-MadeOf
1379,stone,rock,a stone is another word for a rock.,Synonym
1380,store,market,a market is another word for a store.,Synonym
1381,storm,sea,a sea storm is a storm in the ocean.,Location
1382,storm,tornado,a tornado is a type of storm.,Category-Exemplar-Pairs
1383,storm,tornado,a tornado is similarly destructive like a storm is.,Synonym
1384,story,fable,a fable is a type of story.,Category-Exemplar-Pairs
1385,story,tale ,a fairy tale is a type of story.,Category-Exemplar-Pairs
1386,strand,string,a strand of something is similar to a string of something in terms of scope.,Synonym
1387,streets,concrete,the streets are made of concrete.,Material-MadeOf
1388,strength,weakness,i have a few strengths and more than one weakness.,Antonym
1389,strike,unite,if they wanted to strike they would need to unite.,Has-Prerequisite
1391,stuck,move,"if i'm stuck, i am unable to move.",Antonym
1392,student,classroom,a student learns within the classroom environment.,Location
1394,student,school,students usually go to some kind of school,Location
1397,sudden,unforeseen,sudden has a similar meaning as unforeseen.,Synonym
1398,sugar,galactose,galactose is the part of the sugar,PartOf
1400,supposed,thought,supposed is a synonym of thought.,Synonym
1401,sustain,monitor,"in order to sustain a resource, you need to monitor it.",Has-Prerequisite
1402,synonym,antonym,antonym is the opposite of synonym.,Antonym
1403,synonym,similar,a synonym is using another word that has a similar meaning to the word you first used.,Synonym
1404,synonym,antonym,antonym is the antonym of synonym.,Antonym
1407,table,chairs,a table has with chairs with it,Thematic
1408,table,round,"the table was round, and it took up too much space.",HasProperty
1409,tables,wood,the tables are made of wood.,Material-MadeOf
1410,tablet,computer,a tablet is a small type of computer.,Category-Exemplar-Pairs
1411,tactful,considerate,tactful is defined as the considerate,Synonym
1412,teacher,classroom,a teacher works in a classroom.,Location
1413,teacher,school,a teacher is a part of a school.,PartOf
1415,telephone,communicate,people often communicate over the telephone.,Function
1416,terrific,fantastic,fantastic is a synonym for terrific.,Synonym
1417,thief,burglar,thief has a similar meaning as burglar.,Synonym
1419,throat,body,the human throat is a part of the human body,PartOf
1420,ticket,game,when you want to go to a game you need to buy a ticket,Has-Prerequisite
1421,ticket,license,ticket has a similar meaning as license.,Synonym
1422,ticket,pass,ticket has a similar meaning as pass.,Synonym
1423,tired,exhausted ,exhausted is an extreme form of being tired.,Category-Exemplar-Pairs
1424,title,name ,"a title can be part of someone's name, like duke or duchess.",PartOf
1425,total,all,total is a synonym for all.,Synonym
1426,totally,certainly,totally is another word for certainly.,Synonym
1427,totally,completely,i think of totally as being 100% which is very similar to completely and they are both adverbs.,Synonym
1428,totally,definitely,totally is another word for definitely.,Synonym
1429,tournament,championship,tournament has a similar meaning as championship.,Synonym
1430,tournament,contest,tournament has a similar meaning as contest.,Synonym
1431,trash,dump,the trash is taken to the dump.,Location
1432,trash,dump,trash is found at dumps.,Location
1434,trial,case,trial has a similar meaning as case.,Synonym
1435,trial,suit,trial has a similar meaning as suit.,Synonym
1436,trousers,clothing,trousers are a piece o clothing.,Category-Exemplar-Pairs
1437,trousers,pants,"his pants, or trousers, were made of corduroy.",Synonym
1438,trousers,pants,"pants are american and trousers are british, but they are the same thing",Synonym
1439,trousers,pants,pants can be used in place of trousers.,Synonym
1440,trousers,pants,"some people call trousers, pants.",Synonym
1441,trousers,short,his trousers were too short to wear.,HasProperty
1442,truck,big,the truck is so big it couldn't go through the gate.,HasProperty
1444,truck,long,the truck was so long.,HasProperty
1445,truck,transport,they use truck to transport goods that are perishable,Function
1446,truck,vehicle,truck is a big type of vehicle,Category-Exemplar-Pairs
1447,truck,pickup,a pickup is a type of truck.,Category-Exemplar-Pairs
1448,truly,really,truly is a synonym for really.,Synonym
1450,trust,confidence,trust has a similar meaning as confidence.,Synonym
1452,truth,lie,lie is the opposite of truth.,Antonym
1454,truth,correct,telling the truth is synonyms to telling what is correct,Synonym
1455,twist,dance,the twist is a type of dance.,Category-Exemplar-Pairs
1457,unalike,dissimilar,unalike another word dissimilar is same meaning,Synonym
1458,unalike,alike,unalike and alike is opposite meaning words,Antonym
1460,uncle,family,an uncle is a member of your family.,PartOf
1461,uncle,family,an uncle is part of a family.,PartOf
1462,undercover,sting,the cop went undercover as part of a drug bust sting operation.,PartOf
1463,undertaken,done,in order to get the job done some action needs to be undertaken.,Has-Prerequisite
1464,upset,distressed,upset has a similar meaning as distressed.,Synonym
1465,upset,disturbed,upset has a similar meaning as disturbed.,Synonym
1466,upstream,flow,upstream is in the direction opposite to the flow of a stream.,Antonym
1468,uptown,cafes,the uptown part of my city has many cafes.,PartOf
1472,utility,electric,electric bills are part of the utilities.,PartOf
1474,utilize,employ,utilize has a similar meaning as employ.,Synonym
